Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Vol en hélicoptère au-dessus de New York,902,"183,30 €",13 026 voyageurs,"9,10 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",15 min - 20 min,Anglais,new-york,40.70099,-74.008783,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/paseo-helicoptero-manhattan.jpg
Billet pour le Mémorial et le Musée du 11 Septembre,233,"28,30 €",5 054 voyageurs,"9,10 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,-1,new-york,40.7117367,-74.0133007,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/zona-cero-11-s.jpg
Billet pour l'Empire State,1 692,"45,20 €",29 125 voyageurs,"9,10 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,new-york,40.7487836,-73.9861577,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vistas-desde-mirador-empire-state.jpg
Go City : New York Explorer Pass,1 007,"65,20 €",30 575 voyageurs,"9,10 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,-1,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vista-observatorio-empire-state-explorer-pass.jpg
Billet coupe-file pour le One World,977,"44,20 €",14 313 voyageurs,"9,30 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,new-york,40.712955,-74.013814,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/owo-new-york.jpg
Billet pour le Summit One Vanderbilt,125,"40,10 €",3 868 voyageurs,"9,40 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,-1,new-york,40.7525307,-73.9784592,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/edificio-summit-one-vanderbilt.jpg
Excursion shopping dans les outlets,2 524,"99,60 €",32 815 voyageurs,"8,60 / 10","Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",7h30 - 12h,-1,new-york,40.7621877,-73.9839759,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/woodbury-common-premium-outlets.jpg
Billet pour The Edge,167,"39,60 €",4 821 voyageurs,"8,40 / 10","Si vous annulez juste après avoir réservé, vous aurez une pénalité de 0 du montant total. Si vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,-1,new-york,40.7541309,-74.0009561,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/suelo-cristal-edge.jpg
Bus touristique de New York,144,"41,10 €",2 592 voyageurs,"7,60 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour,Anglais et espagnol,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/autobus-turistico-nueva-york.jpg
Balade en bateau au sud de Manhattan,86,"50,10 €",1 786 voyageurs,"8,70 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,1h30,Anglais,new-york,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/paseo-barco-manhattan-vistas.jpg
Visite à la découverte des contrastes de New York,92,"34,90 €",911 voyageurs,"9,10 / 10",Non remboursable. Cette activité n'admet pas d'annulation.,5 heures,Anglais,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/bronx.jpg
Location de vélo à New York,74,"56,60 €",1 012 voyageurs,"9,10 / 10","Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour,-1,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/brooklyn-bridge-bicicleta.jpg
Visite de la Statue de la Liberté et Ellis Island,974,"28,80 €",11 731 voyageurs,"7,80 / 10","Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,Anglais,new-york,40.703332,-74.014062,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-libertad.jpg
Visite guidée de Harlem avec messe Gospel,40,"47,90 €",443 voyageurs,"9,20 / 10",Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Français,new-york,40.758379,-73.988866,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/misa-gospel-harlem.jpg
Circuit sur les traces de Gossip Girl,3,"70,80 €",143 voyageurs,"8,70 / 10","Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 heures,Anglais,new-york,40.7578484,-73.9756912,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/gossip-girl.jpg
New York CityPASS,58,"62,30 €",2 204 voyageurs,"8,80 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,9 jours,-1,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/tarjeta-new-york-city-pass.jpg
Billet pour les New York Yankees,-1,"121,80 €",36 voyageurs,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,new-york,40.829571,-73.926128,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/yankee-statium.jpg
